23/10/2018,47182,6368,46311,2898
24/10/2018,48628,6130,46742,3299
25/10/2018,54713,9078,52653,3722
26/10/2018,53439,7566,50777,4608
27/10/2018,67571,8294,61751,8269
28/10/2018,81972,8250,74084,9068
29/10/2018,39611,7363,37578,2879
30/10/2018,50691,8348,50032,2950
31/10/2018,52316,8193,50745,3576
01/11/2018,64358,8306,60747,5495
02/11/2018,53885,9000,51994,3872
03/11/2018,56683,5969,52463,5928
04/11/2018,48405,7393,44227,5225
05/11/2018,39887,8039,37783,3396
06/11/2018,41778,6892,39822,3205
07/11/2018,43862,7338,41626,3659
08/11/2018,47156,7435,44448,3976
09/11/2018,51248,8445,48594,4022
10/11/2018,52071,7580,46530,6955
11/11/2018,51332,6310,46771,5759
12/11/2018,41806,5971,40368,2777
13/11/2018,49663,7390,47311,4273
14/11/2018,57803,6621,55805,3989
15/11/2018,57409,7731,54087,5222
16/11/2018,60622,7626,58049,5232
17/11/2018,66867,8034,61250,8712
18/11/2018,68780,7126,62419,8178
19/11/2018,41908,5897,39519,3895
20/11/2018,66321,29719,64610,3969
21/11/2018,54507,10851,52631,3962
22/11/2018,54585,8435,51980,4723
23/11/2018,54141,6693,51032,5002
24/11/2018,79014,7447,65344,17351
25/11/2018,68087,8625,61615,8732
26/11/2018,45384,8657,43020,4304
27/11/2018,53619,9414,50868,4463
28/11/2018,55397,10193,53288,4603
29/11/2018,60239,9499,57900,5149
30/11/2018,58228,10454,55140,5241
01/12/2018,67431,8829,60767,8308
02/12/2018,71158,9785,64428,8310
03/12/2018,46985,8489,43643,4697
04/12/2018,53424,8718,50755,4437
05/12/2018,55876,8246,52333,4955
06/12/2018,67905,9160,63618,6047
07/12/2018,66322,12010,62020,6816
08/12/2018,71672,8482,65677,8261
09/12/2018,71248,17343,64533,8647
10/12/2018,43710,6666,40858,4178
11/12/2018,57385,7592,54502,4918
12/12/2018,60570,8120,58110,5182
13/12/2018,65807,11410,62378,6155
14/12/2018,66002,8855,61862,6329
15/12/2018,65680,9003,60050,8098
16/12/2018,39369,7503,35559,5124
17/12/2018,28504,5722,26260,3439
18/12/2018,28556,7266,26028,3998
19/12/2018,28506,7843,25533,5101
20/12/2018,24344,6579,21815,3942
21/12/2018,22665,5746,19469,4220
22/12/2018,20661,6371,17644,4341
23/12/2018,19015,5573,16210,3485
24/12/2018,17234,4979,14917,2940
25/12/2018,17776,4777,15552,3083
26/12/2018,15195,3754,13022,2726
27/12/2018,17324,5317,15651,2386
28/12/2018,18534,5581,16251,2938
29/12/2018,18471,4886,15259,3952
30/12/2018,16821,4189,14305,3103
31/12/2018,17657,4684,14817,3451
01/01/2019,42766,10219,30814,13181
02/01/2019,17378,4585,15223,2807
03/01/2019,21997,4961,19912,3046
04/01/2019,32813,11056,27496,6828
05/01/2019,37194,10522,32981,5685
06/01/2019,37164,9525,33553,4914
07/01/2019,40377,10568,37497,4212
08/01/2019,44191,9109,42006,3823
09/01/2019,46449,8492,44814,3811
